generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1761746020-ZWaTNpVe0bgZzdU4HjFQ,2025-10-29 13:53:40.012,0.007166,,-0.000022,0,0,25487,4182,2266,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,21587,12149,Kilo Code,
gen-1761746012-zE2yDZSVG8ZbCDu5p8pz,2025-10-29 13:53:32.614,0.005308,,-0.000022,0,0,24205,979,942,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,5349,5285,Kilo Code,
gen-1761746002-XL5zTduRMND1zV9fcfPH,2025-10-29 13:53:22.850,0.005309,,-0.000022,0,0,22899,1505,1437,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,7265,7139,Kilo Code,
gen-1761745993-aqDu9qfBOsAwOnlT4eKz,2025-10-29 13:53:13.953,0.005065,,-0.000022,0,0,22200,1295,1237,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,6755,6647,Kilo Code,
gen-1761745986-qqS0x1CamPKjcfVaybpc,2025-10-29 13:53:06.865,0.004554,,-0.000022,0,0,20930,782,739,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4680,4558,Kilo Code,
gen-1761745978-dz4pFq8iDkLXIFw3Yuf6,2025-10-29 13:52:58.143,0.003561,,-0.000022,0,0,16875,417,380,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,2327,2291,Kilo Code,
gen-1761745951-9kkiErNfMcfKp4kSCH91,2025-10-29 13:52:31.502,0.011794,,-0.056524,0,0,169311,595,269,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,23035,12081,Kilo Code,
gen-1761745899-fAczVfY3EygiBjWvqAdr,2025-10-29 13:51:39.600,0.012401,,-0.053534,0,0,161504,1334,467,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,49715,19353,Kilo Code,
gen-1761745890-7YE6MRTJjieP00s2iNDM,2025-10-29 13:51:30.443,0.002677,,-0.003972,0,0,30941,924,780,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4153,3796,Kilo Code,
gen-1761745861-JSz4cup9eeIQoED3IKGq,2025-10-29 13:51:01.729,0.008652,,-0.000022,0,0,26487,6755,2983,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,24079,14889,Kilo Code,
